name,population,HDIRank,GNI,lifeExpectancy,povertyPercent,popUrbanPercent,cleanWaterAccess,averageSchooling,electricityAccessRuralPop,electricityAccessTotalPop
Luxembourg,0.6,21,65543,82.1,No Current Info,91,100,12.2,100,100
Macao SAR, China,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
Macedonia, FYR,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Madagascar,26.3,162,1404,66.7,77.76349187,37.2,54,6.1,No Current Info,19.03506088
Malawi,18.1,172,1159,63.8,52.62110233,16.9,69,4.6,3.9,10.8
Malaysia,31.5,61,27227,76,No Current Info,76,97,10.2,99.99442009,99.99858856
Maldives,0.5,104,12549,78.6,0.77198902,39.8,99,6.8,99.98900363,99.99401093
Mali,19.1,184,1965,58.9,78.0864656,42.4,78,2.4,23.4,37.6
Malta,0.4,28,34795,82.4,No Current Info,94.6,100,11.3,100,100
Marshall Islands,0.1,117,4633,73.9,No Current Info,77,88,10.9,84.21882173,91.51487732
Martinique,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Mauritania,4.4,161,3746,64.7,50.56633949,53.7,71,4.6,No Current Info,39.5
Mauritius,1.3,66,22724,74.9,No Current Info,40.8,100,9.4,100,98.74125671
Mayotte,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Mexico,126.2,76,17628,75,6.30278215,80.2,99,8.6,98,99
Micronesia, Fed. Sts.,0.1,135,3700,67.8,No Current Info,22.7,79,7.7,68.65122679,73.55422974
Moldova,4.1,107,6833,71.8,No Current Info,42.6,89,11.6,100,100
Monaco,0,No Current Info,No Current Info,No Current Info,No Current Info,100,100,No Current Info,No Current Info,100
Mongolia,3.2,92,10784,69.7,10.16207114,68.4,83,10.2,43.13681235,81.1916275
Montenegro,0.6,52,17511,76.8,0.38257733,66.8,97,11.4,99.99932371,99.99916077
Montserrat,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Morocco,36,121,7480,76.5,18.56642067,62.5,87,5.5,99.56243108,99.58601379
Mozambique,29.5,180,1154,60.2,72.45245576,36,56,3.5,5,24
Myanmar,53.7,145,5764,66.9,38.31585944,30.6,82,5,48.9,60.5
Namibia,2.4,130,9683,63.4,38.00217509,50,83,6.9,27.9422354,50.70343018
Nauru,0,No Current Info,17313,No Current Info,No Current Info,100,99,No Current Info,No Current Info,99
Nepal,28.1,147,2748,70.5,33.98997188,19.7,89,4.9,84.86755038,87.21362305
